longitude,latitude,mean_surface_temp
111.00,13.50,27.475000000000023
111.75,13.50,27.539000000000044
112.50,13.50,27.576999999999998
113.25,13.50,27.626000000000033
114.00,13.50,27.661
114.75,13.50,27.69500000000005
115.50,13.50,27.737000000000023
116.25,13.50,27.769000000000005
117.00,13.50,27.847000000000037
117.75,13.50,27.91700000000003
118.50,13.50,28.013000000000034
119.25,13.50,28.105000000000018
120.00,13.50,27.845000000000027
120.75,13.50,27.098000000000013
121.50,13.50,26.848000000000013
122.25,13.50,27.488
123.00,13.50,27.399
123.75,13.50,27.149
124.50,13.50,27.30200000000002
125.25,13.50,27.49000000000001
126.00,13.50,27.52000000000004
126.75,13.50,27.54000000000002
127.50,13.50,27.55600000000004
128.25,13.50,27.590000000000032
129.00,13.50,27.624000000000024
129.75,13.50,27.637
130.50,13.50,27.647000000000048
111.00,14.25,27.391999999999996
111.75,14.25,27.434000000000026
112.50,14.25,27.5
113.25,14.25,27.53000000000003
114.00,14.25,27.576000000000022
114.75,14.25,27.593000000000018
115.50,14.25,27.65100000000001
116.25,14.25,27.716000000000008
117.00,14.25,27.790999999999997
117.75,14.25,27.90100000000001
118.50,14.25,28.025000000000034
119.25,14.25,28.086000000000013
120.00,14.25,27.680000000000007
120.75,14.25,27.312000000000012
121.50,14.25,27.333000000000027
122.25,14.25,27.138000000000034
123.00,14.25,27.399
123.75,14.25,27.41300000000001
124.50,14.25,27.422000000000025
125.25,14.25,27.450000000000045
126.00,14.25,27.456000000000017
126.75,14.25,27.451000000000022
127.50,14.25,27.476
128.25,14.25,27.509000000000015
129.00,14.25,27.543000000000006
129.75,14.25,27.57000000000005
130.50,14.25,27.593000000000018
111.00,15.00,27.30200000000002
111.75,15.00,27.30400000000003
112.50,15.00,27.39500000000004
113.25,15.00,27.378000000000043
114.00,15.00,27.438000000000045
114.75,15.00,27.485000000000014
115.50,15.00,27.531000000000006
116.25,15.00,27.621000000000038
117.00,15.00,27.725000000000023
117.75,15.00,27.861000000000047
118.50,15.00,28.05200000000002
119.25,15.00,27.994000000000028
120.00,15.00,27.298000000000002
120.75,15.00,26.899
121.50,15.00,26.508000000000038
122.25,15.00,27.283000000000015
123.00,15.00,27.672000000000025
123.75,15.00,27.537000000000035
124.50,15.00,27.476
125.25,15.00,27.375
126.00,15.00,27.366000000000042
126.75,15.00,27.35300000000001
127.50,15.00,27.399
128.25,15.00,27.448000000000036
129.00,15.00,27.488
129.75,15.00,27.51600000000002
130.50,15.00,27.53200000000004
111.00,15.75,27.119000000000028
111.75,15.75,27.164000000000044
112.50,15.75,27.238
113.25,15.75,27.263000000000034
114.00,15.75,27.290999999999997
114.75,15.75,27.321000000000026
115.50,15.75,27.384000000000015
116.25,15.75,27.477000000000032
117.00,15.75,27.605000000000018
117.75,15.75,27.753000000000043
118.50,15.75,27.961000000000013
119.25,15.75,27.949000000000012
120.00,15.75,26.91900000000004
120.75,15.75,25.93900000000002
121.50,15.75,25.65900000000005
122.25,15.75,27.015000000000043
123.00,15.75,27.560000000000002
123.75,15.75,27.51800000000003
124.50,15.75,27.385000000000048
125.25,15.75,27.314999999999998
126.00,15.75,27.28400000000005
126.75,15.75,27.30600000000004
127.50,15.75,27.319000000000017
128.25,15.75,27.349000000000046
129.00,15.75,27.388000000000034
129.75,15.75,27.41700000000003
130.50,15.75,27.446000000000026
111.00,16.50,26.908000000000015
111.75,16.50,27.013000000000034
112.50,16.50,27.010000000000048
113.25,16.50,27.05600000000004
114.00,16.50,27.088000000000022
114.75,16.50,27.123000000000047
115.50,16.50,27.213000000000022
116.25,16.50,27.30200000000002
117.00,16.50,27.43300000000005
117.75,16.50,27.61500000000001
118.50,16.50,27.843000000000018
119.25,16.50,28.04600000000005
120.00,16.50,26.79000000000002
120.75,16.50,23.721000000000004
121.50,16.50,24.375
122.25,16.50,26.105000000000018
123.00,16.50,27.17100000000005
123.75,16.50,27.516999999999996
124.50,16.50,27.28200000000004
125.25,16.50,27.27000000000004
126.00,16.50,27.17100000000005
126.75,16.50,27.197000000000003
127.50,16.50,27.214
128.25,16.50,27.277000000000044
129.00,16.50,27.305000000000007
129.75,16.50,27.336000000000013
130.50,16.50,27.348000000000013
111.00,17.25,26.632000000000005
111.75,17.25,26.745000000000005
112.50,17.25,26.78800000000001
113.25,17.25,26.83000000000004
114.00,17.25,26.867999999999995
114.75,17.25,26.910000000000025
115.50,17.25,26.995000000000005
116.25,17.25,27.084000000000003
117.00,17.25,27.244000000000028
117.75,17.25,27.398000000000025
118.50,17.25,27.62700000000001
119.25,17.25,27.92500000000001
120.00,17.25,26.926000000000045
120.75,17.25,23.58200000000005
121.50,17.25,24.216000000000008
122.25,17.25,25.979000000000042
123.00,17.25,26.878000000000043
123.75,17.25,27.426000000000045
124.50,17.25,27.148000000000025
125.25,17.25,27.14100000000002
126.00,17.25,27.062000000000012
126.75,17.25,27.105000000000018
127.50,17.25,27.090000000000032
128.25,17.25,27.13100000000003
129.00,17.25,27.15700000000004
129.75,17.25,27.196000000000026
130.50,17.25,27.215000000000032
111.00,18.00,26.273000000000025
111.75,18.00,26.402000000000044
112.50,18.00,26.479000000000042
113.25,18.00,26.5
114.00,18.00,26.584000000000003
114.75,18.00,26.617999999999995
115.50,18.00,26.758000000000038
116.25,18.00,26.84400000000005
117.00,18.00,26.996000000000038
117.75,18.00,27.150000000000034
118.50,18.00,27.375
119.25,18.00,27.637
120.00,18.00,27.073000000000036
120.75,18.00,24.896000000000015
121.50,18.00,25.30200000000002
122.25,18.00,26.394000000000005
