,longitude,latitude
0,116.720276,20.7080550000001
1,116.720557999,20.7080550000001
2,116.721106999,20.7075000010001
3,116.72139,20.7075000010001
4,116.721664,20.707223999
5,116.721946999,20.707223999
6,116.722220999,20.706942
7,116.723053,20.706942
8,116.723334999,20.706667
9,116.723609999,20.706667
10,116.723892,20.7063880010001
11,116.724442,20.7063880010001
12,116.724723999,20.706114001
13,116.724998001,20.706114001
14,116.725281,20.7063880010001
15,116.726669,20.7063880010001
16,116.726944,20.706114001
17,116.727776001,20.706114001
18,116.728058,20.7058329990001
19,116.728333,20.7058329990001
20,116.729446,20.7047199990001
21,116.729752,20.7045760010001
22,116.729965,20.70417
23,116.730247001,20.703835
24,116.730391999,20.7035660000001
25,116.730750999,20.7034970000001
26,116.731461,20.7034970000001
27,116.732033,20.7032240000001
28,116.732535999,20.7028219990002
29,116.732750001,20.7024170000001
30,116.732964001,20.7019439990002
31,116.732887,20.7015420000002
32,116.732819,20.700865001
33,116.732964001,20.700797999
34,116.733046999,20.7006230010001
35,116.733116001,20.7002770000001
36,116.733414001,20.700001
37,116.733696,20.6997870000001
38,116.733771999,20.699443999
39,116.733612,20.6988890000001
40,116.734038999,20.6982750010001
41,116.733643,20.6977690000001
42,116.728614999,20.6975
43,116.728333,20.6977789990001
44,116.727776001,20.6977789990001
45,116.727501001,20.6980549990001
46,116.726944,20.6980549990001
47,116.726669,20.698334001
48,116.726111999,20.698334001
49,116.72583,20.6986100000001
50,116.724723999,20.6986100000001
51,116.724442,20.6988890000001
52,116.724167,20.6988890000001
53,116.723892,20.6991669990001
54,116.723609999,20.6991669990001
55,116.723190001,20.6992420000001
56,116.722778,20.6991750010002
57,116.722290001,20.6991600000001
58,116.721672,20.6992240000001
59,116.72139,20.6993690000002
60,116.720557999,20.700001
61,116.720276,20.700001
62,116.719718999,20.7005559990001
63,116.719443999,20.7005559990001
64,116.719169999,20.7008340010001
65,116.718329999,20.7008340010001
66,116.718055999,20.701111
67,116.717781,20.701111
68,116.717499,20.7013870000001
69,116.715552999,20.7013870000001
70,116.715279,20.7016660000002
71,116.714722,20.7016660000002
72,116.714447001,20.7019439990002
73,116.71389,20.7019439990002
74,116.713608,20.7022230010001
75,116.713333001,20.7022230010001
76,116.713058001,20.7024990000002
77,116.712502,20.7024990000002
78,116.712219,20.7027780000001
79,116.711945001,20.7027780000001
80,116.711670001,20.7030560000001
81,116.711388,20.7030560000001
82,116.711113,20.7033329990001
83,116.710831001,20.7033329990001
84,116.710280999,20.7038880000001
85,116.710280999,20.704166
86,116.709999,20.7044449990001
87,116.710280999,20.7047199990001
88,116.711670001,20.7047199990001
89,116.712227,20.7051890000001
90,116.713333001,20.7041719990001
91,116.714438999,20.7030560000001
92,116.714652999,20.7029780010001
93,116.714858999,20.7027680010001
94,116.714989001,20.702845
95,116.715279,20.7033329990001
96,116.715836001,20.7033329990001
97,116.71611,20.7030560000001
98,116.716393,20.7030560000001
99,116.716666999,20.7027780000001
100,116.716941999,20.7027780000001
101,116.717224001,20.7024990000002
102,116.717499,20.7024990000002
103,116.717781,20.7022230010001
104,116.718329999,20.7022230010001
105,116.718613,20.7019439990002
106,116.719718999,20.7019439990002
107,116.720276,20.7013870000001
108,116.720557999,20.7013870000001
109,116.720832999,20.701111
110,116.721106999,20.701111
111,116.721946999,20.7002770000001
112,116.722778,20.7002770000001
113,116.723053,20.7005559990001
114,116.723609999,20.7005559990001
115,116.723609999,20.7013870000001
116,116.723334999,20.7016660000002
117,116.723053,20.7016660000002
118,116.722633,20.7016560000002
119,116.722220999,20.7013870000001
120,116.721733,20.7014470000001
121,116.721382001,20.7015150000001
122,116.720909,20.7017349990001
123,116.720978,20.7023659990001
124,116.721465999,20.7026420010002
125,116.721946999,20.7027780000001
126,116.722290001,20.7027849990001
127,116.722778,20.7030560000001
128,116.723404001,20.7034090000001
129,116.723609999,20.7033329990001
130,116.724442,20.7033329990001
131,116.724723999,20.7036090010001
132,116.725281,20.7036090010001
133,116.725555,20.7038880000001
134,116.72583,20.7038880000001
135,116.726111999,20.704166
136,116.725281,20.7050020000001
137,116.724998001,20.7050020000001
138,116.724723999,20.7047199990001
139,116.723609999,20.7047199990001
140,116.723053,20.705278
141,116.721664,20.705278
142,116.721245,20.7056060000002
143,116.720412999,20.7054040000002
144,116.72007,20.7053870010001
145,116.719443999,20.7050020000001
146,116.718613,20.7050020000001
147,116.718329999,20.705278
148,116.718055999,20.705278
149,116.717781,20.7055530000001
150,116.716941999,20.7055530000001
151,116.716666999,20.7058329990001
152,116.716393,20.7058329990001
153,116.71611,20.706114001
154,116.715836001,20.706114001
155,116.714996,20.706942
156,116.714722,20.706942
157,116.714447001,20.707223999
158,116.71389,20.707223999
159,116.713608,20.7075000010001
160,116.713050999,20.707363
161,116.712508999,20.7069970000002
162,116.712219,20.7058329990001
163,116.711875999,20.7057570000001
164,116.711105,20.7060410000001
165,116.710831001,20.706114001
166,116.710831001,20.7063880010001
167,116.710556001,20.706667
168,116.710556001,20.706942
169,116.711670001,20.7080550000001
170,116.711670001,20.708335999
171,116.711875999,20.708610999
172,116.711945001,20.708760999
173,116.712219,20.7090400010002
174,116.712502,20.7091670000001
175,116.713058001,20.7091670000001
176,116.713608,20.7095200010001
177,116.71389,20.7094460000001
178,116.715477,20.7094460000001
179,116.71611,20.709722999
180,116.716941999,20.709722999
181,116.717224001,20.709595
182,116.717781,20.7094460000001
183,116.718055999,20.7094460000001
184,116.718887,20.708610999
185,116.719169999,20.708610999
186,116.719443999,20.708335999
187,116.720001,20.708335999
