t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
0,2_0_1,7,3,1.25579e-12,0.339787,209.934,-209.934
0,2_0_1,8,1,2.82079e-12,1.72533,206.419,-206.419
0,2_0_1,8,2,3.55184e-12,-0.769141,205.418,-205.418
0,2_0_1,8,3,3.21245e-13,0.430491,215.854,-215.854
0,2_0_1,9,1,5.01662e-12,1.7099,203.919,-203.919
0,2_0_1,9,2,2.9344e-12,-0.773677,206.248,-206.248
0,2_0_1,9,3,3.75999e-14,-2.73716,225.171,-225.171
0,2_0_1,10,1,2.89861e-12,1.69447,206.301,-206.301
0,2_0_1,10,2,5.78282e-12,-0.778214,203.301,-203.301
0,2_0_1,10,3,1.72199e-12,-2.76322,208.562,-208.562
0,2_0_1,11,1,5.04507e-12,1.67903,203.894,-203.894
0,2_0_1,11,2,9.05865e-12,-0.78275,201.352,-201.352
0,2_0_1,11,3,1.52371e-13,-2.78927,219.094,-219.094
0,2_0_1,12,1,3.19184e-14,1.68749,225.882,-225.882
0,2_0_1,12,2,8.28288e-12,-0.811683,201.741,-201.741
0,2_0_1,12,3,4.02869e-12,-2.69857,204.871,-204.871
0,2_0_1,13,1,1.83464e-13,1.67206,218.287,-218.287
0,2_0_1,13,2,1.20696e-10,2.32537,190.106,-190.106
0,2_0_1,13,3,1.18986e-12,-2.72463,210.168,-210.168
0,2_0_1,14,1,1.40503e-08,-1.48496,169.446,-169.446
0,2_0_1,14,2,1.19735e-10,2.32084,190.141,-190.141
0,2_0_1,14,3,1.09686e-11,-2.75069,200.521,-200.521
0,2_0_1,15,1,1.10004e-11,-1.50039,200.509,-200.509
0,2_0_1,15,2,5.32345e-12,2.3163,203.661,-203.661
0,2_0_1,15,3,3.95189e-12,-2.77674,204.955,-204.955
0,2_0_1,16,1,5.71394e-13,-1.49193,213.353,-213.353
0,2_0_1,16,2,1.50099e-13,2.28737,219.159,-219.159
0,2_0_1,16,3,6.33077e-14,-2.68604,222.908,-222.908
0,2_0_1,17,1,2.72385e-14,-1.50737,226.571,-226.571
0,2_0_1,17,2,2.20102e-15,-0.858763,237.497,-237.497
0,2_0_1,17,3,9.87636e-12,0.429495,200.977,-200.977
0,2_0_1,18,1,1.79278e-13,1.61879,218.387,-218.387
0,2_0_1,18,2,4.6063e-13,-0.863299,214.289,-214.289
0,2_0_1,18,3,7.53902e-12,0.403437,202.15,-202.15
0,1_0_9,0,1,1.49088e-12,-2.88182,209.188,-209.188
0,1_0_9,0,2,1.63542e-13,2.59331,218.786,-218.786
0,1_0_9,0,3,1.01779e-12,-2.85527,210.846,-210.846
0,1_0_9,1,1,3.83562e-13,-2.80443,215.084,-215.084
0,1_0_9,1,2,1.93123e-12,2.6749,208.064,-208.064
0,1_0_9,1,3,1.40158e-12,-2.78656,209.457,-209.457
0,1_0_9,2,1,5.44325e-12,-2.72705,203.564,-203.564
0,1_0_9,2,2,1.17924e-12,2.75649,210.207,-210.207
0,1_0_9,2,3,1.43209e-12,-2.71786,209.363,-209.363
0,1_0_9,3,1,1.13453e-12,-2.64966,210.375,-210.375
0,1_0_9,3,2,6.46227e-13,2.83808,212.819,-212.819
0,1_0_9,3,3,3.16092e-13,-2.64916,215.925,-215.925
0,1_0_9,4,1,1.41757e-14,-2.88476,229.407,-229.407
0,1_0_9,4,2,1.90474e-13,2.58665,218.124,-218.124
0,1_0_9,4,3,9.03505e-15,-2.81766,231.363,-231.363
0,1_0_9,5,1,6.86712e-13,-2.80737,212.555,-212.555
0,1_0_9,5,2,1.13113e-13,2.66824,220.388,-220.388
0,1_0_9,5,3,3.08528e-13,-2.74895,216.03,-216.03
0,1_0_9,6,1,1.30973e-12,-2.72998,209.751,-209.751
0,1_0_9,6,2,1.14988e-13,2.74983,220.316,-220.316
0,1_0_9,6,3,2.2145e-13,-2.68025,217.47,-217.47
0,1_0_9,7,1,4.51844e-13,-2.6526,214.373,-214.373
0,1_0_9,7,2,1.30309e-12,2.83141,209.773,-209.773
0,1_0_9,7,3,1.76525e-12,-2.61155,208.455,-208.455
0,1_0_9,8,1,2.25279e-12,-2.8877,207.396,-207.396
