t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
0,2_0_1,7,3,1.03832e-13,1.51415,220.759,-220.759
0,2_0_1,8,1,1.36317e-12,-1.04824,209.577,-209.577
0,2_0_1,8,2,7.66515e-13,2.37142,212.078,-212.078
0,2_0_1,8,3,8.43347e-13,1.75068,211.663,-211.663
0,2_0_1,9,1,1.65158e-12,-1.11519,208.744,-208.744
0,2_0_1,9,2,8.29387e-13,2.30661,211.735,-211.735
0,2_0_1,9,3,3.97098e-13,1.66474,214.934,-214.934
0,2_0_1,10,1,1.61905e-12,-1.18213,208.83,-208.83
0,2_0_1,10,2,2.51785e-12,2.2418,206.912,-206.912
0,2_0_1,10,3,1.4503e-13,1.5788,219.308,-219.308
0,2_0_1,11,1,5.06312e-12,-1.24908,203.879,-203.879
0,2_0_1,11,2,5.53017e-12,2.17699,203.495,-203.495
0,2_0_1,11,3,5.42633e-13,1.49286,213.578,-213.578
0,2_0_1,12,1,2.80656e-13,-1.06712,216.441,-216.441
0,2_0_1,12,2,2.39185e-13,2.36153,217.135,-217.135
0,2_0_1,12,3,4.44321e-13,1.7294,214.446,-214.446
0,2_0_1,13,1,1.15268e-13,2.00753,220.306,-220.306
0,2_0_1,13,2,4.65048e-14,-0.844871,224.248,-224.248
0,2_0_1,13,3,2.23407e-14,1.64346,227.432,-227.432
0,2_0_1,14,1,1.58048e-14,-1.20101,228.935,-228.935
0,2_0_1,14,2,5.23244e-16,-0.909679,243.736,-243.736
0,2_0_1,14,3,2.16966e-15,1.55752,237.559,-237.559
0,2_0_1,15,1,2.95265e-13,-1.26795,216.221,-216.221
0,2_0_1,15,2,7.95289e-14,2.16711,221.918,-221.918
0,2_0_1,15,3,4.57163e-14,1.47158,224.322,-224.322
0,2_0_1,16,1,8.57611e-13,-1.086,211.59,-211.59
0,2_0_1,16,2,2.87942e-13,2.35164,216.33,-216.33
0,2_0_1,16,3,1.12422e-13,1.70811,220.414,-220.414
0,2_0_1,17,1,9.41719e-13,-1.15294,211.184,-211.184
0,2_0_1,17,2,9.49748e-15,2.28683,231.147,-231.147
0,2_0_1,17,3,6.61884e-13,1.62217,212.715,-212.715
0,2_0_1,18,1,1.92734e-12,-1.21989,208.073,-208.073
0,2_0_1,18,2,2.28995e-12,2.22203,207.324,-207.324
0,2_0_1,18,3,5.48416e-13,1.53623,213.532,-213.532
0,1_0_9,0,1,9.91193e-13,-1.01049,210.961,-210.961
0,1_0_9,0,2,3.40229e-12,2.39119,205.605,-205.605
0,1_0_9,0,3,3.32542e-13,1.79326,215.704,-215.704
0,1_0_9,1,1,1.64573e-12,-1.07744,208.759,-208.759
0,1_0_9,1,2,3.02048e-12,2.32638,206.122,-206.122
0,1_0_9,1,3,1.15663e-13,1.70732,220.291,-220.291
0,1_0_9,2,1,3.62931e-12,-1.14438,205.325,-205.325
0,1_0_9,2,2,1.38214e-12,2.26158,209.517,-209.517
0,1_0_9,2,3,4.00488e-13,1.62138,214.897,-214.897
0,1_0_9,3,1,6.29054e-13,-1.21133,212.936,-212.936
0,1_0_9,3,2,4.5846e-12,2.19677,204.31,-204.31
0,1_0_9,3,3,9.24698e-13,1.53544,211.263,-211.263
0,1_0_9,4,1,4.86052e-13,-1.02937,214.056,-214.056
0,1_0_9,4,2,9.85423e-13,2.3813,210.987,-210.987
0,1_0_9,4,3,2.92266e-13,1.77197,216.265,-216.265
0,1_0_9,5,1,2.53306e-13,-1.09631,216.886,-216.886
0,1_0_9,5,2,1.26718e-12,2.3165,209.894,-209.894
0,1_0_9,5,3,1.51247e-13,1.68603,219.126,-219.126
0,1_0_9,6,1,1.35968e-12,-1.16326,209.588,-209.588
0,1_0_9,6,2,4.58525e-15,2.25169,234.309,-234.309
0,1_0_9,6,3,1.14811e-13,1.60009,220.323,-220.323
0,1_0_9,7,1,1.2408e-13,-1.2302,219.986,-219.986
0,1_0_9,7,2,2.43751e-13,2.18688,217.053,-217.053
0,1_0_9,7,3,1.03832e-13,1.51415,220.759,-220.759
0,1_0_9,8,1,1.36317e-12,-1.04824,209.577,-209.577
0,1_0_9,8,2,7.66515e-13,2.37142,212.078,-212.078
0,1_0_9,8,3,8.43347e-13,1.75068,211.663,-211.663
0,1_0_9,9,1,1.65158e-12,-1.11519,208.744,-208.744
0,1_0_9,9,2,8.29387e-13,2.30661,211.735,-211.735
0,1_0_9,9,3,3.97098e-13,1.66474,214.934,-214.934
0,1_0_9,10,1,1.61905e-12,-1.18213,208.83,-208.83
0,1_0_9,10,2,2.51785e-12,2.2418,206.912,-206.912
0,1_0_9,10,3,1.4503e-13,1.5788,219.308,-219.308
0,1_0_9,11,1,5.06312e-12,-1.24908,203.879,-203.879
0,1_0_9,11,2,5.53017e-12,2.17699,203.495,-203.495
0,1_0_9,11,3,5.42633e-13,1.49286,213.578,-213.578
0,1_0_9,12,1,2.80656e-13,-1.06712,216.441,-216.441
0,1_0_9,12,2,2.39185e-13,2.36153,217.135,-217.135
0,1_0_9,12,3,4.44321e-13,1.7294,214.446,-214.446
0,1_0_9,13,1,1.15268e-13,2.00753,220.306,-220.306
0,1_0_9,13,2,4.65048e-14,-0.844871,224.248,-224.248
0,1_0_9,13,3,2.23407e-14,1.64346,227.432,-227.432
0,1_0_9,14,1,1.58048e-14,-1.20101,228.935,-228.935
0,1_0_9,14,2,5.23244e-16,-0.909679,243.736,-243.736
0,1_0_9,14,3,2.16966e-15,1.55752,237.559,-237.559
0,1_0_9,15,1,2.95265e-13,-1.26795,216.221,-216.221
0,1_0_9,15,2,7.95289e-14,2.16711,221.918,-221.918
0,1_0_9,15,3,4.57163e-14,1.47158,224.322,-224.322
0,1_0_9,16,1,8.57611e-13,-1.086,211.59,-211.59
0,1_0_9,16,2,2.87942e-13,2.35164,216.33,-216.33
0,1_0_9,16,3,1.12422e-13,1.70811,220.414,-220.414
0,1_0_9,17,1,9.41719e-13,-1.15294,211.184,-211.184
0,1_0_9,17,2,9.49748e-15,2.28683,231.147,-231.147
0,1_0_9,17,3,6.61884e-13,1.62217,212.715,-212.715
0,1_0_9,18,1,1.92734e-12,-1.21989,208.073,-208.073
0,1_0_9,18,2,2.28995e-12,2.22203,207.324,-207.324
0,1_0_9,18,3,5.48416e-13,1.53623,213.532,-213.532
1,3_0_24,0,1,3.04907e-12,1.2496,206.081,-206.081
1,3_0_24,0,2,1.86259e-12,-2.48092,208.222,-208.222
1,3_0_24,0,3,4.8296e-13,2.33468,214.084,-214.084
1,3_0_24,1,1,4.29539e-12,1.18054,204.593,-204.593
1,3_0_24,1,2,2.48436e-12,-2.54423,206.971,-206.971
1,3_0_24,1,3,5.09857e-14,2.24941,223.848,-223.848
1,3_0_24,2,1,3.51324e-12,1.11508,205.466,-205.466
1,3_0_24,2,2,6.6824e-13,-2.60754,212.673,-212.673
1,3_0_24,2,3,2.13178e-13,2.16413,217.635,-217.635
1,3_0_24,3,1,2.62916e-12,1.05357,206.725,-206.725
1,3_0_24,3,2,6.31572e-12,-2.67085,202.919,-202.919
1,3_0_24,3,3,6.23426e-13,2.07886,212.975,-212.975
1,3_0_24,4,1,3.4308e-13,1.24704,215.569,-215.569
1,3_0_24,4,2,1.15021e-12,-2.49046,210.315,-210.315
1,3_0_24,4,3,1.89028e-13,2.31349,218.158,-218.158
1,3_0_24,5,1,7.20656e-13,1.17207,212.345,-212.345
1,3_0_24,5,2,6.63731e-13,-2.55377,212.703,-212.703
1,3_0_24,5,3,2.36376e-13,2.22821,217.187,-217.187
1,3_0_24,6,1,1.07358e-12,1.09854,210.614,-210.614
1,3_0_24,6,2,4.9482e-13,-2.61708,213.978,-213.978
1,3_0_24,6,3,2.00958e-13,2.14294,217.892,-217.892
1,3_0_24,7,1,4.94038e-13,1.02926,213.985,-213.985
1,3_0_24,7,2,5.13456e-13,-2.68038,213.818,-213.818
1,3_0_24,7,3,1.55651e-13,2.05766,219.001,-219.001
1,3_0_24,8,1,1.02435e-12,1.20742,210.818,-210.818
1,3_0_24,8,2,1.69681e-13,-2.5,218.626,-218.626
1,3_0_24,8,3,8.4695e-13,2.2923,211.644,-211.644
1,3_0_24,9,1,9.45706e-13,1.14181,211.165,-211.165
1,3_0_24,9,2,1.14191e-13,-2.56331,220.346,-220.346
1,3_0_24,9,3,5.94126e-13,2.20702,213.184,-213.184
1,3_0_24,10,1,3.66181e-12,1.07751,205.286,-205.286
1,3_0_24,10,2,4.98618e-12,-2.62661,203.945,-203.945
1,3_0_24,10,3,2.58301e-14,2.12174,226.802,-226.802
1,3_0_24,11,1,4.74814e-12,1.01555,204.158,-204.158
1,3_0_24,11,2,9.37957e-12,-2.68992,201.201,-201.201
1,3_0_24,11,3,6.58165e-13,2.03647,212.739,-212.739
1,3_0_24,12,1,2.38157e-13,1.24333,217.154,-217.154
1,3_0_24,12,2,9.16821e-14,-2.50954,221.3,-221.3
1,3_0_24,12,3,5.9995e-13,2.2711,213.142,-213.142
1,3_0_24,13,1,3.3208e-13,-2.05436,215.71,-215.71
1,3_0_24,13,2,2.30337e-14,0.568748,227.299,-227.299
1,3_0_24,13,3,1.46663e-14,2.18583,229.26,-229.26
1,3_0_24,14,1,1.33104e-14,1.21938,229.681,-229.681
1,3_0_24,14,2,9.2903e-15,0.50544,231.242,-231.242
1,3_0_24,14,3,1.07997e-14,2.10055,230.589,-230.589
1,3_0_24,15,1,6.05454e-13,1.01505,213.102,-213.102
1,3_0_24,15,2,1.20384e-13,-2.69946,220.117,-220.117
1,3_0_24,15,3,2.08482e-14,2.01528,227.732,-227.732
1,3_0_24,16,1,6.54568e-13,1.17717,212.763,-212.763
1,3_0_24,16,2,1.07771e-12,-2.51907,210.598,-210.598
1,3_0_24,16,3,1.861e-13,2.24991,218.225,-218.225
1,3_0_24,17,1,5.49884e-13,1.10706,213.52,-213.52
1,3_0_24,17,2,2.49265e-13,-2.58238,216.956,-216.956
1,3_0_24,17,3,6.63836e-13,2.16463,212.702,-212.702
1,3_0_24,18,1,3.91455e-12,1.03991,204.996,-204.996
1,3_0_24,18,2,1.80406e-12,-2.64569,208.36,-208.36
1,3_0_24,18,3,6.56259e-13,2.07936,212.752,-212.752
1,2_0_1,0,1,3.04907e-12,1.2496,206.081,-206.081
