t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
0,1_0_9,14,3,2.28987e-14,1.56467,227.325,-227.325
0,1_0_9,15,1,7.25359e-13,-1.16513,212.317,-212.317
0,1_0_9,15,2,1.97088e-12,2.24701,207.976,-207.976
0,1_0_9,15,3,5.98963e-13,1.58612,213.149,-213.149
0,1_0_9,16,1,2.69858e-12,-1.2671,206.611,-206.611
0,1_0_9,16,2,7.79539e-12,2.17476,202.004,-202.004
0,1_0_9,16,3,1.03523e-13,1.45395,220.772,-220.772
0,1_0_9,17,1,2.01237e-14,-1.2481,227.886,-227.886
0,1_0_9,17,2,3.22432e-12,2.18477,205.838,-205.838
0,1_0_9,17,3,1.04062e-12,1.4754,210.75,-210.75
0,1_0_9,18,1,4.76075e-12,-1.2291,204.146,-204.146
0,1_0_9,18,2,1.02813e-11,2.19478,200.802,-200.802
0,1_0_9,18,3,6.98821e-13,1.49684,212.479,-212.479
1,3_0_24,0,1,5.71588e-12,1.17563,203.352,-203.352
1,3_0_24,0,2,8.20375e-14,-2.52803,221.783,-221.783
1,3_0_24,0,3,3.06121e-13,2.26675,216.064,-216.064
1,3_0_24,1,1,1.03424e-11,1.18537,200.777,-200.777
1,3_0_24,1,2,1.10821e-11,-2.51845,200.477,-200.477
1,3_0_24,1,3,6.35902e-13,2.288,212.889,-212.889
1,3_0_24,2,1,5.21845e-12,1.21117,203.747,-203.747
1,3_0_24,2,2,6.40601e-11,-2.50887,192.857,-192.857
1,3_0_24,2,3,9.00444e-13,2.30926,211.378,-211.378
1,3_0_24,3,1,6.23836e-13,1.24902,212.972,-212.972
1,3_0_24,3,2,6.76285e-13,-2.49929,212.621,-212.621
1,3_0_24,3,3,2.60117e-13,2.33051,216.771,-216.771
1,3_0_24,4,1,2.10123e-13,1.14131,217.698,-217.698
1,3_0_24,4,2,8.4155e-13,-2.56868,211.672,-211.672
1,3_0_24,4,3,4.96335e-14,2.19963,223.965,-223.965
1,3_0_24,5,1,3.47211e-12,1.15004,205.517,-205.517
1,3_0_24,5,2,1.16034e-12,-2.5591,210.277,-210.277
1,3_0_24,5,3,6.64085e-13,2.22088,212.701,-212.701
