t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,3_0_24,0,1,9.3209e-13,0.788536,211.228,-211.228,2.96636e-07,-2.98503e-07
0,3_0_24,0,2,3.5242e-12,-1.73583,205.452,-205.452,-1.34435e-07,8.07171e-07
0,3_0_24,0,3,3.13611e-13,0.0649612,215.959,-215.959,2.43588e-07,-1.58461e-08
0,3_0_24,1,1,1.08244e-13,0.768689,220.579,-220.579,1.03086e-07,-9.96976e-08
0,3_0_24,1,2,3.18877e-12,-1.74673,205.887,-205.887,-1.36236e-07,7.66358e-07
0,3_0_24,1,3,1.01931e-12,0.0425014,210.84,-210.84,4.39681e-07,-1.86983e-08
0,3_0_24,2,1,1.59937e-13,0.748839,218.883,-218.883,1.27687e-07,-1.18676e-07
0,3_0_24,2,2,1.24022e-13,-1.75711,219.988,-219.988,-2.8435e-08,1.5085e-07
0,3_0_24,2,3,2.51698e-13,0.0209273,216.914,-216.914,2.18636e-07,-4.57612e-09
0,3_0_24,3,1,3.40866e-13,0.728956,215.597,-215.597,1.89816e-07,-1.69513e-07
0,3_0_24,3,2,5.55034e-13,-1.76846,213.48,-213.48,-6.37721e-08,3.18417e-07
0,3_0_24,3,3,4.59008e-14,-0.00182702,224.305,-224.305,9.3387e-08,1.7062e-10
0,3_0_24,4,1,3.3935e-13,0.855368,215.616,-215.616,1.66558e-07,-1.91664e-07
0,3_0_24,4,2,2.91841e-13,-1.67075,216.271,-216.271,-2.34969e-08,2.34302e-07
0,3_0_24,4,3,5.71944e-13,0.150473,213.349,-213.349,3.25925e-07,-4.94165e-08
0,3_0_24,5,1,1.49802e-12,0.83551,209.168,-209.168,3.57873e-07,-3.95666e-07
0,3_0_24,5,2,3.02847e-12,-1.682,206.111,-206.111,-8.41795e-08,7.53872e-07
0,3_0_24,5,3,1.07631e-12,0.128268,210.603,-210.603,4.485e-07,-5.78459e-08
0,3_0_24,6,1,1.43346e-12,0.81563,209.359,-209.359,3.57701e-07,-3.8001e-07
0,3_0_24,6,2,1.66689e-12,-1.69287,208.704,-208.704,-6.85261e-08,5.58581e-07
0,3_0_24,6,3,1.2911e-12,0.106095,209.813,-209.813,4.92501e-07,-5.24486e-08
0,3_0_24,7,1,1.66571e-13,-2.34615,218.707,-218.707,-1.24524e-07,1.27052e-07
0,3_0_24,7,2,3.15408e-11,1.43297,195.934,-195.934,3.36342e-07,-2.42479e-06
0,3_0_24,7,3,1.31865e-13,0.0841066,219.721,-219.721,1.57726e-07,-1.32972e-08
0,3_0_24,8,1,2.2449e-14,-2.21958,227.411,-227.411,-3.94608e-08,5.20399e-08
0,3_0_24,8,2,3.7992e-15,1.5341,235.126,-235.126,9.8569e-10,-2.68491e-08
0,3_0_24,8,3,1.21103e-13,0.237114,220.091,-220.091,1.47445e-07,-3.56315e-08
