t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,3_0_24,0,1,6.45753e-13,1.5242,212.822,-212.822,1.63155e-08,-3.49896e-07
0,3_0_24,0,2,1.64613e-12,-0.50266,208.758,-208.758,4.90076e-07,2.69425e-07
0,3_0_24,0,3,1.23733e-12,0.859579,209.998,-209.998,3.16498e-07,-3.67317e-07
0,3_0_24,0,4,2.02394e-14,2.75198,227.861,-227.861,-5.73647e-08,-2.35538e-08
0,3_0_24,0,5,1.18249e-12,-1.85229,210.195,-210.195,-1.31674e-07,4.5534e-07
0,3_0_24,0,6,2.41316e-12,-1.91627,207.097,-207.097,-2.29303e-07,6.37118e-07
0,3_0_24,0,7,1.42003e-12,-0.884518,209.4,-209.4,3.29142e-07,4.01834e-07
0,3_0_24,0,8,4.39676e-13,2.55327,214.491,-214.491,-2.40436e-07,-1.60402e-07
0,3_0_24,0,9,5.52447e-13,2.44894,213.5,-213.5,-2.49324e-07,-2.06888e-07
0,3_0_24,1,1,3.97729e-13,1.51597,214.927,-214.927,1.50643e-08,-2.74484e-07
0,3_0_24,1,2,3.97123e-12,-0.511854,204.934,-204.934,7.57312e-07,4.25454e-07
0,3_0_24,1,3,7.5408e-13,0.827934,212.149,-212.149,2.56028e-07,-2.78791e-07
0,3_0_24,1,4,8.0562e-13,2.74799,211.861,-211.861,-3.61322e-07,-1.50047e-07
0,3_0_24,1,5,6.03704e-13,-1.88744,213.115,-213.115,-1.05457e-07,3.21842e-07
0,3_0_24,1,6,5.26824e-12,-1.92789,203.706,-203.706,-3.49725e-07,9.37368e-07
0,3_0_24,1,7,1.68547e-12,-0.910113,208.656,-208.656,3.47266e-07,4.46817e-07
0,3_0_24,1,8,8.90503e-13,2.52752,211.426,-211.426,-3.36188e-07,-2.3701e-07
0,3_0_24,1,9,1.84539e-12,2.44307,208.262,-208.262,-4.53454e-07,-3.80793e-07
0,3_0_24,2,1,1.53861e-14,1.50774,229.051,-229.051,3.4072e-09,-5.39607e-08
0,3_0_24,2,2,3.27678e-13,-0.521048,215.768,-215.768,2.16406e-07,1.24207e-07
0,3_0_24,2,3,2.47536e-14,0.79629,226.986,-226.986,4.79622e-08,-4.90185e-08
0,3_0_24,2,4,1.88895e-13,2.744,218.161,-218.161,-1.74669e-07,-7.33544e-08
0,3_0_24,2,5,2.38228e-13,-1.92258,217.153,-217.153,-7.33087e-08,1.99723e-07
0,3_0_24,2,6,3.26152e-13,-1.93952,215.789,-215.789,-8.97222e-08,2.32204e-07
0,3_0_24,2,7,4.39626e-13,-0.935709,214.492,-214.492,1.71457e-07,2.32662e-07
0,3_0_24,2,8,2.22618e-13,2.50178,217.447,-217.447,-1.64984e-07,-1.22791e-07
0,3_0_24,2,9,4.46239e-13,2.4372,214.427,-214.427,-2.21881e-07,-1.88559e-07
0,3_0_24,3,1,5.10448e-14,1.49951,223.843,-223.843,7.01477e-09,-9.82308e-08
0,3_0_24,3,2,2.39019e-13,-0.530242,217.138,-217.138,1.83842e-07,1.07776e-07
0,3_0_24,3,3,6.06512e-13,0.764646,213.094,-213.094,2.44968e-07,-2.35006e-07
0,3_0_24,3,4,2.31465e-14,2.74,227.278,-227.278,-6.10401e-08,-2.59218e-08
0,3_0_24,3,5,4.91298e-13,-1.95772,214.009,-214.009,-1.15289e-07,2.8294e-07
0,3_0_24,3,6,7.45177e-13,-1.95114,212.2,-212.2,-1.39689e-07,3.49386e-07
0,3_0_24,3,7,2.24883e-13,-0.961304,217.403,-217.403,1.1833e-07,1.69487e-07
0,3_0_24,3,8,5.05433e-14,2.47603,223.886,-223.886,-7.70808e-08,-6.05126e-08
0,3_0_24,3,9,3.04496e-13,2.43133,216.087,-216.087,-1.82367e-07,-1.56833e-07
0,3_0_24,4,1,5.36145e-13,1.61104,213.63,-213.63,-1.28408e-08,-3.18908e-07
0,3_0_24,4,2,2.23081e-12,-0.443462,207.438,-207.438,5.88066e-07,2.79341e-07
0,3_0_24,4,3,9.90029e-13,0.930682,210.966,-210.966,2.5905e-07,-3.47848e-07
0,3_0_24,4,4,3.74954e-13,2.84315,215.183,-215.183,-2.55112e-07,-7.84796e-08
0,3_0_24,4,5,1.19548e-12,-1.78729,210.147,-210.147,-1.02375e-07,4.65467e-07
0,3_0_24,4,6,6.68286e-15,-1.84986,232.673,-232.673,-9.81553e-09,3.42549e-08
0,3_0_24,4,7,1.50103e-12,-0.814824,209.159,-209.159,3.66347e-07,3.88568e-07
0,3_0_24,4,8,5.77784e-13,2.63748,213.305,-213.305,-2.90113e-07,-1.60041e-07
0,3_0_24,4,9,1.25036e-12,2.52147,209.952,-209.952,-3.96658e-07,-2.8325e-07
0,3_0_24,5,1,9.9581e-13,1.60281,210.941,-210.941,-1.39219e-08,-4.34753e-07
0,3_0_24,5,2,2.15577e-12,-0.452656,207.587,-207.587,5.75542e-07,2.79906e-07
0,3_0_24,5,3,9.06507e-13,0.899037,211.349,-211.349,2.58289e-07,-3.24843e-07
0,3_0_24,5,4,6.16671e-14,2.83916,223.022,-223.022,-1.03331e-07,-3.22398e-08
0,3_0_24,5,5,2.53452e-12,-1.82243,206.884,-206.884,-1.72785e-07,6.7209e-07
