t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,3_0_24,8,6,2.49029e-14,2.92346,226.96,-226.96,-6.71563e-08,-1.48856e-08
0,3_0_24,9,1,1.39427e-15,-0.254523,239.479,-239.479,1.57518e-08,4.09806e-09
0,3_0_24,9,2,4.21192e-17,0.117051,254.678,-254.678,2.80954e-09,-3.30371e-10
0,3_0_24,9,3,1.70721e-15,-2.76699,238.6,-238.6,-1.67613e-08,6.59e-09
0,3_0_24,9,4,3.95155e-19,-0.526473,274.955,-274.955,2.36901e-10,1.37685e-10
0,3_0_24,9,5,3.85503e-16,-2.4648,245.062,-245.062,-6.67196e-09,5.36008e-09
0,3_0_24,9,6,3.14393e-15,-0.228092,235.948,-235.948,2.38077e-08,5.52652e-09
0,3_0_24,10,1,8.08183e-15,2.87958,231.848,-231.848,-3.78487e-08,-1.01501e-08
0,3_0_24,10,2,7.6556e-14,0.101179,222.083,-222.083,1.19989e-07,-1.21819e-08
0,3_0_24,10,3,4.73283e-14,-2.79482,224.172,-224.172,-8.91834e-08,3.22288e-08
0,3_0_24,10,4,1.14475e-13,-0.552247,220.336,-220.336,1.25557e-07,7.73682e-08
0,3_0_24,10,5,3.84038e-14,-2.47374,225.079,-225.079,-6.70686e-08,5.2901e-08
0,3_0_24,10,6,1.24285e-14,2.90354,229.979,-229.979,-4.72239e-08,-1.14592e-08
0,3_0_24,11,1,7.51381e-14,2.87209,222.164,-222.164,-1.1517e-07,-3.18124e-08
0,3_0_24,11,2,1.42678e-13,0.0853056,219.379,-219.379,1.64049e-07,-1.40283e-08
0,3_0_24,11,3,3.06545e-15,-2.82269,236.058,-236.058,-2.29169e-08,7.56649e-09
0,3_0_24,11,4,2.79364e-13,-0.578022,216.461,-216.461,1.92961e-07,1.25877e-07
0,3_0_24,11,5,1.33463e-13,-2.48269,219.669,-219.669,-1.25907e-07,9.74957e-08
0,3_0_24,11,6,6.7704e-14,2.89358,222.617,-222.617,-1.09948e-07,-2.78422e-08
0,3_0_24,12,1,4.74571e-13,2.97234,214.16,-214.16,-2.9599e-07,-5.05805e-08
0,3_0_24,12,2,1.52437e-13,0.214484,219.092,-219.092,1.66286e-07,-3.62227e-08
0,3_0_24,12,3,3.92894e-14,-2.65078,224.98,-224.98,-7.62008e-08,4.07238e-08
0,3_0_24,12,4,6.2327e-13,-0.428044,212.976,-212.976,3.13077e-07,1.42843e-07
0,3_0_24,12,5,1.6095e-13,-2.37295,218.856,-218.856,-1.25708e-07,1.21564e-07
0,3_0_24,12,6,5.38267e-13,2.99913,213.613,-213.613,-3.16558e-07,-4.54041e-08
0,3_0_24,13,1,1.95644e-13,2.96485,218.008,-218.008,-1.89798e-07,-3.38985e-08
0,3_0_24,13,2,1.13794e-14,0.198611,230.362,-230.362,4.55842e-08,-9.17446e-09
0,3_0_24,13,3,1.25334e-13,-2.67859,219.942,-219.942,-1.38069e-07,6.89232e-08
0,3_0_24,13,4,5.81448e-13,-0.453818,213.278,-213.278,2.98735e-07,1.45715e-07
0,3_0_24,13,5,8.33383e-15,-2.3819,231.714,-231.714,-2.88512e-08,2.7405e-08
0,3_0_24,13,6,4.18468e-13,2.98917,214.706,-214.706,-2.78704e-07,-4.28126e-08
