t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,3_0_24,0,1,1.74135e-17,-0.291108,208.514,-208.514,5.51001e-07,1.65091e-07
0,3_0_24,0,2,6.3875e-17,0.249186,202.869,-202.869,1.06762e-06,-2.71682e-07
0,3_0_24,0,3,3.68946e-20,1.46565,235.253,-235.253,2.7788e-09,-2.63301e-08
0,3_0_24,1,1,4.16764e-18,-0.341794,214.724,-214.724,2.65121e-07,9.43185e-08
0,3_0_24,1,2,1.59476e-18,0.20195,218.896,-218.896,1.70533e-07,-3.4915e-08
0,3_0_24,1,3,9.51784e-19,1.38768,221.137,-221.137,2.44869e-08,-1.32228e-07
0,3_0_24,2,1,1.04881e-18,-0.392479,220.716,-220.716,1.30431e-07,5.39926e-08
0,3_0_24,2,2,2.30092e-17,0.154714,207.304,-207.304,6.53295e-07,-1.01888e-07
0,3_0_24,2,3,6.40334e-19,1.30972,222.859,-222.859,2.84711e-08,-1.06563e-07
0,3_0_24,3,1,4.75652e-17,-0.443165,204.15,-204.15,8.58818e-07,4.0764e-07
0,3_0_24,3,2,9.04664e-18,0.107479,211.358,-211.358,4.12199e-07,-4.44741e-08
0,3_0_24,3,3,1.20416e-17,1.23175,210.116,-210.116,1.59082e-07,-4.51092e-07
0,3_0_24,4,1,2.186e-17,-0.308177,207.526,-207.526,6.14106e-07,1.95482e-07
0,3_0_24,4,2,2.17552e-17,0.242356,207.547,-207.547,6.24133e-07,-1.54295e-07
0,3_0_24,4,3,1.81528e-17,1.4448,208.333,-208.333,7.37998e-08,-5.8263e-07
0,3_0_24,5,1,1.01185e-15,-0.358863,190.872,-190.872,4.10534e-06,1.53993e-06
0,3_0_24,5,2,1.26292e-15,0.195121,189.909,-189.909,4.80557e-06,-9.4975e-07
0,3_0_24,5,3,2.6806e-17,1.36684,206.64,-206.64,1.44552e-07,-6.9887e-07
0,3_0_24,6,1,7.26425e-19,-0.409549,222.311,-222.311,1.07767e-07,4.67809e-08
0,3_0_24,6,2,1.36553e-19,0.147885,229.57,-229.57,5.03804e-08,-7.5053e-09
0,3_0_24,6,3,5.77952e-18,1.28887,213.304,-213.304,9.2191e-08,-3.18295e-07
0,3_0_24,7,1,8.3285e-20,-0.460234,231.717,-231.717,3.56405e-08,1.76684e-08
0,3_0_24,7,2,5.71048e-19,-3.04094,223.356,-223.356,-1.03636e-07,1.04663e-08
0,3_0_24,7,3,3.25774e-19,1.21091,225.794,-225.794,2.7707e-08,-7.36344e-08
0,3_0_24,8,1,1.46954e-18,-0.325247,219.251,-219.251,1.58336e-07,5.33945e-08
0,3_0_24,8,2,1.33216e-18,0.235527,219.677,-219.677,1.54702e-07,-3.71256e-08
0,3_0_24,8,3,2.20121e-18,1.42395,217.496,-217.496,2.99227e-08,-2.02306e-07
0,3_0_24,9,1,1.11287e-17,-0.375932,210.458,-210.458,4.27719e-07,1.68822e-07
0,3_0_24,9,2,4.08875e-18,0.188292,214.807,-214.807,2.73796e-07,-5.21716e-08
0,3_0_24,9,3,4.81e-19,1.34599,224.101,-224.101,2.13107e-08,-9.31925e-08
0,3_0_24,10,1,1.07595e-17,-0.426618,210.605,-210.605,4.11616e-07,1.87093e-07
0,3_0_24,10,2,2.96923e-18,0.141056,216.196,-216.196,2.3516e-07,-3.33925e-08
0,3_0_24,10,3,5.10496e-18,1.26802,213.843,-213.843,9.28613e-08,-2.97272e-07
0,3_0_24,11,1,6.53297e-19,-0.477303,222.772,-222.772,9.89603e-08,5.11811e-08
0,3_0_24,11,2,2.4497e-18,0.0938204,217.032,-217.032,2.14793e-07,-2.02113e-08
0,3_0_24,11,3,1.1723e-17,1.19006,210.232,-210.232,1.7538e-07,-4.38154e-07
0,3_0_24,12,1,5.41418e-17,-0.342316,203.587,-203.587,9.55399e-07,3.40451e-07
0,3_0_24,12,2,5.053e-17,0.228698,203.887,-203.887,9.5432e-07,-2.22137e-07
0,3_0_24,12,3,1.81735e-17,1.4031,208.328,-208.328,9.80778e-08,-5.79377e-07
0,3_0_24,13,1,1.98511e-17,-0.393002,207.945,-207.945,5.67323e-07,2.35194e-07
0,3_0_24,13,2,7.70974e-17,0.181462,202.052,-202.052,1.19044e-06,-2.18423e-07
0,3_0_24,13,3,9.19888e-19,1.32514,221.285,-221.285,3.21511e-08,-1.28235e-07
0,3_0_24,14,1,1.18264e-16,-0.443687,200.194,-200.194,1.35386e-06,6.43482e-07
0,3_0_24,14,2,2.33398e-17,0.134227,207.242,-207.242,6.59935e-07,-8.91169e-08
0,3_0_24,14,3,2.79111e-17,1.24717,206.465,-206.465,2.31577e-07,-6.90423e-07
0,3_0_24,15,1,5.96703e-14,-0.494373,173.165,-173.165,2.96394e-05,1.59762e-05
0,3_0_24,15,2,2.27861e-16,0.0869912,197.346,-197.346,2.07284e-06,-1.80775e-07
0,3_0_24,15,3,4.5998e-17,1.16921,204.295,-204.295,3.65416e-07,-8.60484e-07
0,3_0_24,16,1,6.02039e-15,2.78221,183.127,-183.127,-1.00119e-05,-3.76149e-06
0,3_0_24,16,2,2.04251e-12,-2.91972,157.821,-157.821,-0.000192168,4.33498e-05
0,3_0_24,16,3,1.6995e-17,1.38226,208.62,-208.62,1.06504e-07,-5.58177e-07
0,3_0_24,17,1,4.05095e-17,2.73152,204.847,-204.847,-8.04579e-07,-3.49763e-07
0,3_0_24,17,2,6.49583e-17,-2.96696,202.796,-202.796,-1.09405e-06,1.93024e-07
0,3_0_24,17,3,1.81806e-20,-1.8373,238.327,-238.327,-4.89478e-09,1.79297e-08
0,3_0_24,18,1,1.18535e-18,2.68084,220.184,-220.184,-1.34422e-07,-6.67258e-08
0,3_0_24,18,2,8.76606e-18,-3.0142,211.495,-211.495,-4.04804e-07,5.18519e-08
0,3_0_24,18,3,1.29272e-20,1.22633,239.808,-239.808,5.29245e-09,-1.47515e-08
0,2_0_1,0,1,1.02121e-16,0.992422,200.832,-200.832,7.61474e-07,-1.16639e-06
0,2_0_1,0,2,2.51038e-16,-1.34886,196.925,-196.925,4.80728e-07,2.1304e-06
0,2_0_1,0,3,4.82888e-17,-2.37423,204.084,-204.084,-6.89412e-07,6.6498e-07
0,2_0_1,1,1,3.51082e-17,1.00705,205.469,-205.469,4.36427e-07,-6.90352e-07
0,2_0_1,1,2,3.70935e-17,-1.32881,205.23,-205.23,2.01171e-07,8.1505e-07
0,2_0_1,1,3,1.97305e-18,-2.40878,217.971,-217.971,-1.43916e-07,1.29523e-07
0,2_0_1,2,1,6.49837e-17,1.02168,202.795,-202.795,5.79956e-07,-9.47808e-07
0,2_0_1,2,2,1.22542e-16,-1.30876,200.04,-200.04,3.9527e-07,1.47379e-06
