t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,3_0_24,0,1,3.44601e-17,-2.9756,205.55,-205.55,-7.98039e-07,1.33703e-07
0,3_0_24,0,2,4.95658e-18,-2.35118,213.971,-213.971,-2.15906e-07,2.18082e-07
0,3_0_24,0,3,8.23162e-18,2.52803,211.768,-211.768,-3.23341e-07,-2.27708e-07
0,3_0_24,0,4,1.94579e-17,0.463989,208.032,-208.032,5.43745e-07,-2.72104e-07
0,3_0_24,0,5,7.53458e-18,0.131549,212.152,-212.152,3.75092e-07,-4.96297e-08
0,3_0_24,0,6,1.01443e-17,-2.62378,210.861,-210.861,-3.81468e-07,2.17308e-07
0,3_0_24,1,1,7.5695e-19,-3.04109,222.132,-222.132,-1.1932e-07,1.20322e-08
0,3_0_24,1,2,5.65793e-20,-2.42255,233.396,-233.396,-2.46704e-08,2.15958e-08
0,3_0_24,1,3,2.62793e-18,2.44592,216.727,-216.727,-1.71526e-07,-1.43211e-07
0,3_0_24,1,4,4.76493e-18,0.404626,214.142,-214.142,2.76591e-07,-1.18452e-07
0,3_0_24,1,5,1.18484e-18,0.0585953,220.186,-220.186,1.49782e-07,-8.78661e-09
0,3_0_24,1,6,1.12831e-18,-2.68636,220.398,-220.398,-1.31506e-07,6.43751e-08
0,3_0_24,2,1,5.83846e-18,-3.10659,213.26,-213.26,-3.32859e-07,1.16556e-08
0,3_0_24,2,2,7.83526e-18,-2.49392,211.982,-211.982,-3.07701e-07,2.32788e-07
0,3_0_24,2,3,4.09191e-18,2.3638,214.804,-214.804,-1.98657e-07,-1.95657e-07
0,3_0_24,2,4,7.27665e-18,0.345263,212.303,-212.303,3.49885e-07,-1.25843e-07
0,3_0_24,2,5,6.67698e-18,-0.0143586,212.677,-212.677,3.56141e-07,5.11406e-09
0,3_0_24,2,6,1.28681e-17,-2.74895,209.828,-209.828,-4.56834e-07,1.89199e-07
0,3_0_24,3,1,1.90213e-17,3.1111,208.13,-208.13,-6.0089e-07,-1.83301e-08
0,3_0_24,3,2,7.22253e-19,-2.56529,222.336,-222.336,-9.82235e-08,6.38354e-08
0,3_0_24,3,3,8.38277e-19,2.28169,221.689,-221.689,-8.23492e-08,-9.56341e-08
0,3_0_24,3,4,7.77306e-18,0.2859,212.017,-212.017,3.68703e-07,-1.08381e-07
0,3_0_24,3,5,6.72654e-18,-0.0873126,212.645,-212.645,3.56135e-07,3.11744e-08
0,3_0_24,3,6,2.46475e-17,-2.81153,207.005,-207.005,-6.47387e-07,2.21792e-07
0,3_0_24,4,1,1.96225e-17,-2.97925,207.995,-207.995,-6.02567e-07,9.86922e-08
0,3_0_24,4,2,7.72023e-18,-2.36465,212.046,-212.046,-2.73098e-07,2.68518e-07
0,3_0_24,4,3,3.53191e-18,2.50044,215.443,-215.443,-2.07603e-07,-1.54943e-07
0,3_0_24,4,4,3.04048e-17,0.439751,206.093,-206.093,6.87746e-07,-3.23568e-07
0,3_0_24,4,5,3.66868e-17,0.125913,205.278,-205.278,8.28285e-07,-1.04847e-07
0,3_0_24,4,6,7.26209e-17,-2.63012,202.312,-202.312,-1.02432e-06,5.74945e-07
0,3_0_24,5,1,2.91192e-17,-3.04475,206.281,-206.281,-7.40332e-07,7.19241e-08
0,3_0_24,5,2,7.37714e-17,-2.43602,202.244,-202.244,-9.01243e-07,7.67735e-07
0,3_0_24,5,3,5.83137e-18,2.41832,213.265,-213.265,-2.49527e-07,-2.203e-07
0,3_0_24,5,4,3.32357e-17,0.380388,205.707,-205.707,7.37854e-07,-2.9504e-07
0,3_0_24,5,5,5.19838e-17,0.0529591,203.764,-203.764,9.92434e-07,-5.26076e-08
0,3_0_24,5,6,8.40119e-17,-2.6927,201.679,-201.679,-1.13825e-06,5.48279e-07
0,3_0_24,6,1,4.52303e-18,-3.11024,214.368,-214.368,-2.93007e-07,9.18869e-09
0,3_0_24,6,2,6.07004e-18,-2.50739,213.091,-213.091,-2.73565e-07,2.01228e-07
0,3_0_24,6,3,1.44063e-18,2.33621,219.337,-219.337,-1.14626e-07,-1.19302e-07
0,3_0_24,6,4,1.74832e-18,0.321025,218.497,-218.497,1.72947e-07,-5.75096e-08
0,3_0_24,6,5,2.28775e-18,-0.0199949,217.329,-217.329,2.08447e-07,4.16842e-09
0,3_0_24,6,6,1.62892e-19,-2.75529,228.804,-228.804,-5.15326e-08,2.09605e-08
0,3_0_24,7,1,9.66929e-25,3.10744,281.069,-281.069,-1.35463e-10,-4.62758e-12
0,3_0_24,7,2,1.01887e-21,-2.57876,250.842,-250.842,-3.72114e-09,2.3477e-09
0,3_0_24,7,3,1.48091e-19,2.2541,229.217,-229.217,-3.349e-08,-4.11357e-08
0,3_0_24,7,4,3.57781e-21,0.261661,245.387,-245.387,7.96426e-09,-2.13284e-09
0,3_0_24,7,5,5.61152e-20,-0.0929489,233.432,-233.432,3.25116e-08,3.03065e-09
0,3_0_24,7,6,3.33791e-23,-2.81787,265.688,-265.688,-7.55003e-10,2.53323e-10
0,3_0_24,8,1,8.23697e-19,-2.9829,221.765,-221.765,-1.23529e-07,1.97693e-08
0,3_0_24,8,2,7.38049e-19,-2.37812,222.242,-222.242,-8.55499e-08,8.18788e-08
0,3_0_24,8,3,1.26455e-18,2.47284,219.903,-219.903,-1.21616e-07,-9.61039e-08
0,3_0_24,8,4,4.80227e-18,0.415513,214.108,-214.108,2.76362e-07,-1.21931e-07
0,3_0_24,8,5,1.56148e-18,0.120277,218.987,-218.987,1.71e-07,-2.06671e-08
0,3_0_24,8,6,2.84458e-19,-2.63646,226.383,-226.383,-6.43352e-08,3.55764e-08
0,3_0_24,9,1,1.2781e-18,-3.0484,219.857,-219.857,-1.55157e-07,1.45018e-08
0,3_0_24,9,2,5.89856e-18,-2.44949,213.215,-213.215,-2.57742e-07,2.13639e-07
0,3_0_24,9,3,2.52778e-19,2.39073,226.895,-226.895,-5.06667e-08,-4.72828e-08
0,3_0_24,9,4,4.81553e-18,0.35615,214.096,-214.096,2.835e-07,-1.05466e-07
0,3_0_24,9,5,5.10652e-18,0.0473229,213.842,-213.842,3.11138e-07,-1.47349e-08
0,3_0_24,9,6,1.56138e-19,-2.69904,228.988,-228.988,-4.92196e-08,2.3325e-08
0,3_0_24,10,1,3.81505e-19,-3.1139,225.108,-225.108,-8.5106e-08,2.3578e-09
0,3_0_24,10,2,1.05388e-17,-2.52085,210.695,-210.695,-3.64001e-07,2.60269e-07
0,3_0_24,10,3,3.06073e-19,2.30862,226.065,-226.065,-5.12974e-08,-5.64266e-08
0,3_0_24,10,4,5.0693e-18,0.296786,213.873,-213.873,2.96781e-07,-9.07612e-08
0,3_0_24,10,5,9.75575e-18,-0.0256311,211.03,-211.03,4.30392e-07,1.10338e-08
0,3_0_24,10,6,2.68651e-18,-2.76163,216.631,-216.631,-2.09815e-07,8.37942e-08
0,3_0_24,11,1,7.28176e-19,3.10379,222.3,-222.3,-1.1754e-07,-4.44517e-09
0,3_0_24,11,2,1.01314e-17,-2.59222,210.866,-210.866,-3.74185e-07,2.29091e-07
0,3_0_24,11,3,4.39537e-18,2.2265,214.493,-214.493,-1.762e-07,-2.29054e-07
0,3_0_24,11,4,2.55381e-17,0.237423,206.851,-206.851,6.7704e-07,-1.63835e-07
0,3_0_24,11,5,1.43932e-17,-0.0985851,209.341,-209.341,5.20406e-07,5.14711e-08
0,3_0_24,11,6,3.98546e-18,-2.82421,214.918,-214.918,-2.61436e-07,8.58781e-08
0,3_0_24,12,1,7.11417e-19,-2.98655,222.402,-222.402,-1.14868e-07,1.79532e-08
0,3_0_24,12,2,4.3842e-18,-2.39158,214.504,-214.504,-2.11176e-07,1.96734e-07
0,3_0_24,12,3,6.91667e-18,2.44525,212.524,-212.524,-2.78118e-07,-2.32524e-07
0,3_0_24,12,4,2.24174e-18,0.391275,217.417,-217.417,1.90783e-07,-7.87069e-08
0,3_0_24,12,5,2.09884e-17,0.114641,207.703,-207.703,6.27345e-07,-7.22359e-08
0,3_0_24,12,6,2.18291e-17,-2.6428,207.532,-207.532,-5.65548e-07,3.08073e-07
0,3_0_24,13,1,1.17935e-17,-3.05205,210.206,-210.206,-4.71471e-07,4.23297e-08
0,3_0_24,13,2,1.57414e-17,-2.46295,208.952,-208.952,-4.25714e-07,3.43301e-07
0,3_0_24,13,3,1.04242e-17,2.36313,210.742,-210.742,-3.16866e-07,-3.12499e-07
0,3_0_24,13,4,6.39737e-17,0.331911,202.863,-202.863,1.04232e-06,-3.5925e-07
0,3_0_24,13,5,1.47506e-17,0.0416867,209.235,-209.235,5.28937e-07,-2.20624e-08
0,3_0_24,13,6,4.91631e-17,-2.70539,204.006,-204.006,-8.75986e-07,4.08346e-07
0,3_0_24,14,1,1.07594e-16,-3.11755,200.605,-200.605,-1.42937e-06,3.43753e-08
0,3_0_24,14,2,6.2516e-17,-2.53432,202.963,-202.963,-8.95006e-07,6.21907e-07
0,3_0_24,14,3,9.47091e-18,2.28102,211.159,-211.159,-2.76581e-07,-3.21636e-07
0,3_0_24,14,4,8.89883e-17,0.272548,201.429,-201.429,1.2523e-06,-3.50023e-07
0,3_0_24,14,5,2.1769e-17,-0.0312673,207.544,-207.544,6.42812e-07,2.01056e-08
0,3_0_24,14,6,1.8041e-17,-2.76797,208.36,-208.36,-5.45082e-07,2.13693e-07
0,3_0_24,15,1,9.5691e-17,3.10014,201.114,-201.114,-1.34722e-06,-5.58783e-08
0,3_0_24,15,2,4.77704e-17,-2.60569,204.131,-204.131,-8.1914e-07,4.86465e-07
0,3_0_24,15,3,4.55283e-17,2.19891,204.34,-204.34,-5.46529e-07,-7.52559e-07
0,3_0_24,15,4,9.71853e-13,0.213185,161.047,-161.047,0.000132811,-2.87501e-05
0,3_0_24,15,5,5.19336e-17,-0.104221,203.768,-203.768,9.87957e-07,1.03341e-07
0,3_0_24,15,6,2.30494e-16,-2.83055,197.296,-197.296,-1.99228e-06,6.4047e-07
0,3_0_24,16,1,1.57972e-14,-2.99021,178.937,-178.937,-1.71266e-05,2.61274e-06
0,3_0_24,16,2,2.06149e-17,-2.40505,207.781,-207.781,-4.63625e-07,4.20399e-07
0,3_0_24,16,3,7.99064e-18,2.41765,211.897,-211.897,-2.91922e-07,-2.58077e-07
0,3_0_24,16,4,2.60334e-18,-2.77456,216.767,-216.767,-2.07591e-07,7.98098e-08
0,3_0_24,16,5,1.45487e-16,0.109004,199.295,-199.295,1.65273e-06,-1.80872e-07
